text,hs_code,hs_chapter,hs_chapter_name,hs_desc,language
Coal or rock cutters and tunnelling machinery; not self-propelled,843039,HS 84,HS 84,Coal or rock cutters and tunnelling machinery; not self-propelled,en
"Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 200g/m2, for bonded warehouse delivery, with standard commercial invoice and packing list.",520931,HS 52,HS 52,"Fabrics, woven; containing 85% or more by weight of cotton, dyed, plain weave, weighing more than 200g/m2",en
"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",070960,HS 07,HS 07,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",en
"Petroleum oils and oils from bituminous minerals, not containing biodiesel, not crude, not waste oils; preparations n.e.c, containing by weight 70% or more of petroleum oils or oils from bituminous minerals; light oils and preparations, for bulk procurement program, shipping term CIF.",271012,HS 27,Mineral Fuels,Light petroleum oils,en
Sodium hydroxide (caustic soda); in aqueous solution (soda lye or liquid soda),281512,HS 28,HS 28,Sodium hydroxide (caustic soda); in aqueous solution (soda lye or liquid soda),en
"Spices; cumin seeds, crushed or ground",090932,HS 09,HS 09,"Spices; cumin seeds, crushed or ground",en
Aluminium oxide; other than artificial corundum,281820,HS 28,HS 28,Aluminium oxide; other than artificial corundum,en
Tractors; single axle,870110,HS 87,HS 87,Tractors; single axle,en
"Plasters; (consisting of calcined gypsum or calcium sulphate), whether or not coloured, with or without small quantities of accelerators or retarders, for cross-border shipment, for 20ft container loading.",252020,HS 25,HS 25,"Plasters; (consisting of calcined gypsum or calcium sulphate), whether or not coloured, with or without small quantities of accelerators or retarders",en
"Glycerol, crude; glycerol waters and glycerol lyes",152000,HS 15,HS 15,"Glycerol, crude; glycerol waters and glycerol lyes",en
"Ribbons; for typewriters and the like, inked or otherwise prepared, for giving impressions, whether or not on spools or in cartridges",961210,HS 96,HS 96,"Ribbons; for typewriters and the like, inked or otherwise prepared, for giving impressions, whether or not on spools or in cartridges",en
"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",520624,HS 52,HS 52,"Cotton yarn; (not sewing thread), single, of combed fibres, less than 85% by weight of cotton, less than 192.31 but not less than 125 decitex (exceeding 52 but not exceeding 80 metric number), not for retail sale",en
"Welding machines and apparatus; for arc (including plasma arc) welding of metals, fully or partly automatic, whether or not capable of cutting",851531,HS 85,HS 85,"Welding machines and apparatus; for arc (including plasma arc) welding of metals, fully or partly automatic, whether or not capable of cutting",en
"Preparations with a basis of extracts, essences or concentrates or with a basis of coffee, for bulk procurement program, for scheduled maritime transport.",210112,HS 21,HS 21,"Preparations with a basis of extracts, essences or concentrates or with a basis of coffee",en
"Nickel; nickel mattes, for bulk procurement program, for scheduled maritime transport.",750110,HS 75,HS 75,Nickel; nickel mattes,en
"Turbines; parts of hydraulic turbines and water wheels, including regulators, for customs clearance and import declaration, with standard commercial invoice and packing list.",841090,HS 84,HS 84,"Turbines; parts of hydraulic turbines and water wheels, including regulators",en
"Seats; with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture), for regional retail supply chain, for 20ft container loading.",940171,HS 94,HS 94,"Seats; with metal frames, upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)",en
"Nightdresses and pyjamas; women's or girls', of man-made fibres, knitted or crocheted",610832,HS 61,HS 61,"Nightdresses and pyjamas; women's or girls', of man-made fibres, knitted or crocheted",en
"Amine-function compounds; aromatic monoamines and their derivatives, diphenylamine and its derivatives; salts thereof",292144,HS 29,HS 29,"Amine-function compounds; aromatic monoamines and their derivatives, diphenylamine and its derivatives; salts thereof",en
"Textiles; fabrics and felts, endless or fitted with linking devices, of a kind used in paper-making or similar machines, weighing 650g/m2 or more",591132,HS 59,HS 59,"Textiles; fabrics and felts, endless or fitted with linking devices, of a kind used in paper-making or similar machines, weighing 650g/m2 or more",en
"Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weighing 40g/m2 to 150g/m2, in rolls, for industrial procurement contract, for scheduled maritime transport.",480255,HS 48,HS 48,"Uncoated paper and paperboard (not 4801 or 4803); printing, writing or graphic, 10% or less by weight of mechanical or chemi-mechanical processed fibre, weighing 40g/m2 to 150g/m2, in rolls",en
"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, for industrial procurement contract, with standard commercial invoice and packing list.",030259,HS 03,HS 03,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",en
Acyclic hydrocarbons; saturated,290110,HS 29,HS 29,Acyclic hydrocarbons; saturated,en
"Pigments; of a kind used in the manufacture of paints, other than stamping foils, for bonded warehouse delivery, with standard commercial invoice and packing list.",321290,HS 32,HS 32,"Pigments; of a kind used in the manufacture of paints, other than stamping foils",en
"Carpets and other textile floor coverings; tufted, of textile materials (other than man-made, wool or fine animal hair), whether or not made up, for bulk procurement program, shipping term FOB.",570390,HS 57,HS 57,"Carpets and other textile floor coverings; tufted, of textile materials (other than man-made, wool or fine animal hair), whether or not made up",en
"Fabrics, woven; of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made staple fibres, for cross-border shipment, for scheduled maritime transport.",511130,HS 51,HS 51,"Fabrics, woven; of carded wool or carded fine animal hair, containing less than 85% by weight of wool or fine animal hair, mixed mainly or solely with man-made staple fibres",en
"Tools, hand; other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers, for regional retail supply chain, palletized for container shipment.",820559,HS 82,HS 82,"Tools, hand; other hand tools (including glaziers diamonds), excluding household tools, drilling, threading or tapping tools, hammers and sledge hammers, planes, chisels, gouges and similar cutting tools for working wood, and screwdrivers",en
"Vehicle parts; silencers (mufflers) and exhaust pipes; parts thereof, for regional retail supply chain, palletized for container shipment.",870892,HS 87,HS 87,Vehicle parts; silencers (mufflers) and exhaust pipes; parts thereof,en
"Machines and appliances, instruments or apparatus of chapter 90; parts and accessories n.e.c. in chapter 90, for bonded warehouse delivery, for mixed-lot cargo.",903300,HS 90,HS 90,"Machines and appliances, instruments or apparatus of chapter 90; parts and accessories n.e.c. in chapter 90",en
"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled, for international wholesale distribution, shipping term FOB.",070960,HS 07,HS 07,"Vegetables; fruits of the genus capsicum or of the genus pimenta, fresh or chilled",en
"Fabrics, woven; of yarns of different colours, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",551643,HS 55,HS 55,"Fabrics, woven; of yarns of different colours, containing less than 85% by weight of artificial staple fibres, mixed mainly or solely with cotton",en
"Motor cars, >3000cc - standard quality, bulk shipment",870324,HS 87,Vehicles,"Motor cars, >3000cc",en
"Lenses, spectacle; unmounted, of materials other than glass, for regional retail supply chain, packed in cartons.",900150,HS 90,HS 90,"Lenses, spectacle; unmounted, of materials other than glass",en
"Printed matter; books, brochures, leaflets and similar printed matter n.e.c. in item no. 4901.10 or 4901.91",490199,HS 49,HS 49,"Printed matter; books, brochures, leaflets and similar printed matter n.e.c. in item no. 4901.10 or 4901.91",en
"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",721250,HS 72,HS 72,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated, (excluding tin, zinc or plastic)",en
"Telephone sets n.e.c. in item no. 8517.1, for regional retail supply chain, with standard commercial invoice and packing list.",851718,HS 85,HS 85,Telephone sets n.e.c. in item no. 8517.1,en
"Amino-resins; n.e.c. in heading no. 3909, in primary forms, other than poly(methylene phenyl isocyanate) (Crude MDI, polymeric MDI), for bulk procurement program, with standard commercial invoice and packing list.",390939,HS 39,HS 39,"Amino-resins; n.e.c. in heading no. 3909, in primary forms, other than poly(methylene phenyl isocyanate) (Crude MDI, polymeric MDI)",en
"Vegetables; potatoes (other than seed), fresh or chilled",070190,HS 07,HS 07,"Vegetables; potatoes (other than seed), fresh or chilled",en
"Vinyl chloride polymers; monofilament, of which any cross-sectional dimension exceeds 1mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked, for bulk procurement program, for 20ft container loading.",391620,HS 39,HS 39,"Vinyl chloride polymers; monofilament, of which any cross-sectional dimension exceeds 1mm, rods, sticks and profile shapes, whether or not surface-worked but not otherwise worked",en
"Upholstered seats with wooden frames, commercial grade, for import, for international wholesale distribution, palletized for container shipment.",940161,HS 94,Furniture,Upholstered seats with wooden frames,en
"Plastics; spools, cops, bobbins and similar supports, for the conveyance or packing of goods, for bonded warehouse delivery, for scheduled maritime transport.",392340,HS 39,HS 39,"Plastics; spools, cops, bobbins and similar supports, for the conveyance or packing of goods",en
"Machines and appliances; for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials other than metals, for bulk procurement program, for mixed-lot cargo.",902480,HS 90,HS 90,"Machines and appliances; for testing the hardness, strength, compressibility, elasticity or other mechanical properties of materials other than metals",en
"Wood; coniferous species n.e.c in headings 4403.22 or 4403.24, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm, for bonded warehouse delivery, for mixed-lot cargo.",440326,HS 44,HS 44,"Wood; coniferous species n.e.c in headings 4403.22 or 4403.24, in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, of which any cross-sectional dimension is less than 15 cm",en
"Organic cotton T-shirts, unisex, knitted",610910,HS 61,Garments,"T-shirts and singlets, cotton, knitted",en
"Crustaceans; lobsters (Homarus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking, for bulk procurement program, for mixed-lot cargo.",030692,HS 03,HS 03,"Crustaceans; lobsters (Homarus spp.), smoked, cooked or not, whether in shell or not, whether or not cooked before or during smoking",en
"Other structures of iron or steel, commercial grade, for import",730890,HS 73,Steel,Other structures of iron or steel,en
"Footwear; n.e.c. in heading no. 6403, covering the ankle, outer soles of rubber, plastics or composition leather, uppers of leather",640391,HS 64,HS 64,"Footwear; n.e.c. in heading no. 6403, covering the ankle, outer soles of rubber, plastics or composition leather, uppers of leather",en
"Station wagon, spark ignition, 2000cc, for bulk procurement program, with standard commercial invoice and packing list.",870323,HS 87,Vehicles,"Motor cars, 1500-3000cc",en
"Vegetable oils; ground-nut oil and its fractions, other than crude, whether or not refined, but not chemically modified",150890,HS 15,HS 15,"Vegetable oils; ground-nut oil and its fractions, other than crude, whether or not refined, but not chemically modified",en
"Other needles, catheters, commercial grade, for import, for bonded warehouse delivery, for 20ft container loading.",901839,HS 90,Medical,"Other needles, catheters",en
"Machines; parts of automatic goods-vending machines, for export under standard commercial terms, shipping term CIF.",847690,HS 84,HS 84,Machines; parts of automatic goods-vending machines,en
"Insulated electric conductors; winding wire, of copper, for customs clearance and import declaration, shipping term FOB.",854411,HS 85,HS 85,"Insulated electric conductors; winding wire, of copper",en
"Containers for compressed or liquefied gas, of iron or steel, for bonded warehouse delivery, packed in cartons.",731100,HS 73,HS 73,"Containers for compressed or liquefied gas, of iron or steel",en
"Carpets and other textile floor coverings; woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, made up, n.e.c. in item no. 5702.10 or 5702.20, for regional retail supply chain, for scheduled maritime transport.",570249,HS 57,HS 57,"Carpets and other textile floor coverings; woven, (not tufted or flocked), of textile materials (other than man-made, wool or fine animal hair), of pile construction, made up, n.e.c. in item no. 5702.10 or 5702.20",en
"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, for export under standard commercial terms, shipping term FOB.",030229,HS 03,HS 03,"Fish; fresh or chilled, flat fish, n.e.c. in item no. 0302.2, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99",en
"Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale, for bulk procurement program, palletized for container shipment.",520512,HS 52,HS 52,"Cotton yarn; (not sewing thread), single, of uncombed fibres, 85% or more by weight of cotton, less than 714.29 but not less than 232.56 decitex (exceeding 14 but not exceeding 43 metric number), not for retail sale",en
"Amusement park rides and water park amusements; water rides, for regional retail supply chain, for scheduled maritime transport.",950825,HS 95,HS 95,Amusement park rides and water park amusements; water rides,en
"Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power exceeding 37kW but not exceeding 75kW, for international wholesale distribution, shipping term CIF.",870193,HS 87,HS 87,Tractors; n.e.c. in heading no 8701 (other than tractors of heading no 8709); of an engine power exceeding 37kW but not exceeding 75kW,en
Microtomes and parts and accessories thereof,902790,HS 90,HS 90,Microtomes and parts and accessories thereof,en
"Stone; natural (excluding marble, travertine, alabaster, other calcareous stone or granite), monumental or building stone, (other than simply cut or sawn, with a flat or even surface), for cross-border shipment, with standard commercial invoice and packing list.",680299,HS 68,HS 68,"Stone; natural (excluding marble, travertine, alabaster, other calcareous stone or granite), monumental or building stone, (other than simply cut or sawn, with a flat or even surface)",en
"Abrasive powder or grain; natural or artificial, on a base of woven textile fabric only, whether or not cut to shape or sewn or otherwise made up, for export under standard commercial terms, with standard commercial invoice and packing list.",680510,HS 68,HS 68,"Abrasive powder or grain; natural or artificial, on a base of woven textile fabric only, whether or not cut to shape or sewn or otherwise made up",en
"Titanium; other than unwrought, n.e.c. in heading no. 8108, for export under standard commercial terms, shipping term CIF.",810890,HS 81,HS 81,"Titanium; other than unwrought, n.e.c. in heading no. 8108",en
Soups and broths and preparations therefor,210410,HS 21,HS 21,Soups and broths and preparations therefor,en
"Silk; woven fabrics n.e.c. in heading no. 5007, for bulk procurement program, for scheduled maritime transport.",500790,HS 50,HS 50,Silk; woven fabrics n.e.c. in heading no. 5007,en
"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport, for bonded warehouse delivery, shipping term FOB.",710499,HS 71,HS 71,"Stones; synthetic or reconstructed precious or semi-precious n.e.c. in heading 7104, worked or graded but not strung, mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones, temporarily strung for convenience of transport",en
"Metal-rolling mills; hot or combination hot and cold rolling mills, for international wholesale distribution, packed in cartons.",845521,HS 84,HS 84,Metal-rolling mills; hot or combination hot and cold rolling mills,en
"Iron or steel; plaited bands, slings and the like, not electrically insulated, for export under standard commercial terms, packed in cartons.",731290,HS 73,HS 73,"Iron or steel; plaited bands, slings and the like, not electrically insulated",en
Carbonates; strontium carbonate,283692,HS 28,HS 28,Carbonates; strontium carbonate,en
"Ceramic flooring blocks, supports or filler tiles and the like (excluding building bricks), for regional retail supply chain, shipping term CIF.",690490,HS 69,HS 69,"Ceramic flooring blocks, supports or filler tiles and the like (excluding building bricks)",en
"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of poly(vinyl butyral), non-cellular and not reinforced, laminated, supported or similarly combined with other materials",392091,HS 39,HS 39,"Plastics; plates, sheets, film, foil and strip (not self-adhesive), of poly(vinyl butyral), non-cellular and not reinforced, laminated, supported or similarly combined with other materials",en
"Export grade cold-rolled iron or steel coil, certified, for customs clearance and import declaration, with standard commercial invoice and packing list.",720917,HS 72,Steel,Cold-rolled iron or steel coil,en
"Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines, for bulk procurement program, for mixed-lot cargo.",840710,HS 84,HS 84,"Engines; for aircraft, spark-ignition reciprocating or rotary internal combustion piston engines",en
"Ketones; cyclanic, cyclenic or cycloterpenic, without other oxygen function, ionones and methylionones, for export under standard commercial terms, for mixed-lot cargo.",291423,HS 29,HS 29,"Ketones; cyclanic, cyclenic or cycloterpenic, without other oxygen function, ionones and methylionones",en
"Pharmaceutical goods; opacifying preparations for x-ray examinations, diagnostic reagents designed to be administered to the patient, for bulk procurement program, palletized for container shipment.",300630,HS 30,HS 30,"Pharmaceutical goods; opacifying preparations for x-ray examinations, diagnostic reagents designed to be administered to the patient",en
"Economy car tyres, new, 175/70R13",401110,HS 40,Rubber,New pneumatic tyres for cars,en
"Wool; (not carded or combed), degreased, (not carbonised), shorn",510121,HS 51,HS 51,"Wool; (not carded or combed), degreased, (not carbonised), shorn",en
"Lead; lead monoxide (litharge, massicot), for industrial procurement contract, packed in cartons.",282410,HS 28,HS 28,"Lead; lead monoxide (litharge, massicot)",en
Handkerchiefs; of cotton (not knitted or crocheted),621320,HS 62,HS 62,Handkerchiefs; of cotton (not knitted or crocheted),en
"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 200g/m2, for bonded warehouse delivery, palletized for container shipment.",520951,HS 52,HS 52,"Fabrics, woven; containing 85% or more by weight of cotton, printed, plain weave, weighing more than 200g/m2",en
"Textile fabrics; otherwise impregnated, coated or covered, painted canvas being theatrical scenery, studio back-cloths or the like, for bonded warehouse delivery, with standard commercial invoice and packing list.",590700,HS 59,HS 59,"Textile fabrics; otherwise impregnated, coated or covered, painted canvas being theatrical scenery, studio back-cloths or the like",en
"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale, for export under standard commercial terms, packed in cartons.",550931,HS 55,HS 55,"Yarn; (not sewing thread), single, of synthetic staple fibres, containing 85% or more by weight of acrylic or modacrylic, not put up for retail sale",en
"Fibres; synthetic staple fibres, of polyesters, not carded, combed or otherwise processed for spinning, for bulk procurement program, palletized for container shipment.",550320,HS 55,HS 55,"Fibres; synthetic staple fibres, of polyesters, not carded, combed or otherwise processed for spinning",en
"Vehicle parts; steering wheels, steering columns and steering boxes; parts thereof",870894,HS 87,HS 87,"Vehicle parts; steering wheels, steering columns and steering boxes; parts thereof",en
"Glass fibres; mechanically bonded fabrics and closed woven fabrics, plain weave, of yarns, not coated or laminated (other than rovings), for industrial procurement contract, shipping term CIF.",701963,HS 70,HS 70,"Glass fibres; mechanically bonded fabrics and closed woven fabrics, plain weave, of yarns, not coated or laminated (other than rovings)",en
Iron oxides and hydroxides,282110,HS 28,HS 28,Iron oxides and hydroxides,en
"Steel, stainless; flat-rolled, width 600mm or more, cold-rolled or cold-reduced, of a thickness of 4.75mm or more",721931,HS 72,HS 72,"Steel, stainless; flat-rolled, width 600mm or more, cold-rolled or cold-reduced, of a thickness of 4.75mm or more",en
"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",380700,HS 38,HS 38,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch",en
"Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)",903040,HS 90,HS 90,"Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)",en
Brominated or iodinated derivatives of acyclic hydrocarbons; methyl bromide (bromomethane),290361,HS 29,HS 29,Brominated or iodinated derivatives of acyclic hydrocarbons; methyl bromide (bromomethane),en
"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",721590,HS 72,HS 72,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",en
"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; monoalkylethers of ethylene glycol or of diethylene glycol n.e.c. in heading no. 2909, for cross-border shipment, packed in cartons.",290944,HS 29,HS 29,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; monoalkylethers of ethylene glycol or of diethylene glycol n.e.c. in heading no. 2909",en
"Heating equipment; for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens, for cross-border shipment, packed in cartons.",851440,HS 85,HS 85,"Heating equipment; for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens",en
"Fabrics, woven; 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",551442,HS 55,HS 55,"Fabrics, woven; 3- or 4-thread twill, including cross twill, printed, containing less than 85% by weight of polyester staple fibres, mixed mainly or solely with cotton, exceeding 170g/m2",en
"Machines and appliances; for testing the hardness, strength, compressibility, elasticity or other mechanical properties of metals, for export under standard commercial terms, for 20ft container loading.",902410,HS 90,HS 90,"Machines and appliances; for testing the hardness, strength, compressibility, elasticity or other mechanical properties of metals",en
"Other medical instruments, commercial grade, for import",901890,HS 90,Medical,Other medical instruments,en
"Wood pulp; chemical wood pulp, soda or sulphate, (other than dissolving grades), semi-bleached or bleached, of coniferous wood, for customs clearance and import declaration, palletized for container shipment.",470321,HS 47,Paper,"Chemical wood pulp, bleached",en
"Fabrics, woven; printed, of artificial staple fibres, n.e.c. in heading no. 5516",551694,HS 55,HS 55,"Fabrics, woven; printed, of artificial staple fibres, n.e.c. in heading no. 5516",en
"Silk; raw silk (not thrown), for industrial procurement contract, for 20ft container loading.",500200,HS 50,HS 50,Silk; raw silk (not thrown),en
"Office machines; duplicating machines, for export under standard commercial terms, shipping term CIF.",847210,HS 84,HS 84,Office machines; duplicating machines,en
"Road tractors for semi-trailers, packed for international trade, for international wholesale distribution, for mixed-lot cargo.",870120,HS 87,Vehicles,Road tractors for semi-trailers,en
"โน้ตบุ๊คพกพา น้ำหนักเบา สำหรับทำงาน, for bonded warehouse delivery, for 20ft container loading.",847130,HS 84,Electronics,Portable digital computers <10kg,th
"Heating equipment; for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens",851440,HS 85,HS 85,"Heating equipment; for the heat treatment of materials by induction or dielectric loss, industrial or laboratory, other than furnaces and ovens",en
"Insulated electric conductors; winding wire, (of other than copper), for bulk procurement program, for scheduled maritime transport.",854419,HS 85,HS 85,"Insulated electric conductors; winding wire, (of other than copper)",en
"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, multiple (folded) or cabled, n.e.c. in heading no. 5402, not for retail sale, not sewing thread, for bulk procurement program, shipping term FOB.",540269,HS 54,HS 54,"Yarn, synthetic; filament, monofilament (less than 67 decitex), other than high tenacity or textured yarn, multiple (folded) or cabled, n.e.c. in heading no. 5402, not for retail sale, not sewing thread",en
"Residual products of the chemical or allied industries, not elsewhere specified or included; waste organic solvents, other than halogenated",382549,HS 38,HS 38,"Residual products of the chemical or allied industries, not elsewhere specified or included; waste organic solvents, other than halogenated",en
"Sewing thread; of artificial staple fibres, whether or not put up for retail sale, for export under standard commercial terms, with standard commercial invoice and packing list.",550820,HS 55,HS 55,"Sewing thread; of artificial staple fibres, whether or not put up for retail sale",en
"Machines; for making cartons, boxes, cases, tubes, drums or similar containers (other than by moulding), of paper pulp, paper or paperboard",844130,HS 84,HS 84,"Machines; for making cartons, boxes, cases, tubes, drums or similar containers (other than by moulding), of paper pulp, paper or paperboard",en
"Birds' eggs, in shell; preserved or cooked, for bonded warehouse delivery, packed in cartons.",040790,HS 04,HS 04,"Birds' eggs, in shell; preserved or cooked",en
"Aeroplanes, unladen weight 2000-15000kg - standard quality, bulk shipment, for bulk procurement program, shipping term CIF.",880230,HS 88,Aircraft,"Aeroplanes, unladen weight 2000-15000kg",en
"Medicaments; containing hormones (excluding insulin), (but not containing antibiotics), for therapeutic or prophylactic uses, not packaged for retail sale",300339,HS 30,HS 30,"Medicaments; containing hormones (excluding insulin), (but not containing antibiotics), for therapeutic or prophylactic uses, not packaged for retail sale",en
"Shirts; men's or boys', of textile materials n.e.c. in heading no. 6205 (not knitted or crocheted), for customs clearance and import declaration, for scheduled maritime transport.",620590,HS 62,HS 62,"Shirts; men's or boys', of textile materials n.e.c. in heading no. 6205 (not knitted or crocheted)",en
"Acids; carboxylic acids, (with phenol function but without other oxygen function), their anhydrides, halides, peroxides, peroxyacids and their derivatives, n.e.c. in item no. 2918.2, for bulk procurement program, palletized for container shipment.",291829,HS 29,HS 29,"Acids; carboxylic acids, (with phenol function but without other oxygen function), their anhydrides, halides, peroxides, peroxyacids and their derivatives, n.e.c. in item no. 2918.2",en
Dyes; basic dyes and preparations based thereon,320413,HS 32,HS 32,Dyes; basic dyes and preparations based thereon,en
"Fungicides; other than containing goods specified in Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles, for cross-border shipment, shipping term CIF.",380892,HS 38,HS 38,Fungicides; other than containing goods specified in Subheading Note 1 to this Chapter; put up in forms or packings for retail sale or as preparations or articles,en
"Scent sprays and similar toilet sprays, and mounts and heads therefor",961610,HS 96,HS 96,"Scent sprays and similar toilet sprays, and mounts and heads therefor",en
"Static converters, meeting international standards",850440,HS 85,Electronics,Static converters,en
"Shipment of instantaneous gas water heaters, FOB terms",841911,HS 84,Machinery,Instantaneous gas water heaters,en
"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with tin, for bonded warehouse delivery, shipping term FOB.",721210,HS 72,HS 72,"Iron or non-alloy steel; flat-rolled, width less than 600mm, plated or coated with tin",en
"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan, for customs clearance and import declaration, shipping term CIF.",841490,HS 84,HS 84,"Pumps and compressors; parts, of air or vacuum pumps, air or other gas compressors and fans, ventilating or recycling hoods incorporating a fan",en
"Electrical capacitors; fixed, tantalum, for bonded warehouse delivery, with standard commercial invoice and packing list.",853221,HS 85,HS 85,"Electrical capacitors; fixed, tantalum",en
"Cement; portland, white, whether or not artificially coloured",252321,HS 25,HS 25,"Cement; portland, white, whether or not artificially coloured",en
"Hosiery; panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn less than 67 decitex, knitted or crocheted",611521,HS 61,HS 61,"Hosiery; panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn less than 67 decitex, knitted or crocheted",en
"Wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves",441600,HS 44,HS 44,"Wood; casks, barrels, vats, tubs and other coopers' products and parts thereof, of wood, including staves",en
"Fabrics, woven; of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, of yarns of different colours, for cross-border shipment, for 20ft container loading.",540783,HS 54,HS 54,"Fabrics, woven; of synthetic filament yarn, containing less than 85% by weight of synthetic filaments, mixed mainly or solely with cotton, of yarns of different colours",en
"Safety fuses, for industrial procurement contract, for mixed-lot cargo.",360310,HS 36,HS 36,Safety fuses,en
"Electric rotary converters, for export under standard commercial terms, shipping term FOB.",850240,HS 85,HS 85,Electric rotary converters,en
"Insulating fittings; (other than of ceramics or plastics), for electrical machines, appliances and equipment, excluding insulators of heading no. 8546, for industrial procurement contract, with standard commercial invoice and packing list.",854790,HS 85,HS 85,"Insulating fittings; (other than of ceramics or plastics), for electrical machines, appliances and equipment, excluding insulators of heading no. 8546",en
"Clocks; (excluding those with watch movements and instrument panel clocks), alarm clocks, electrically operated",910511,HS 91,HS 91,"Clocks; (excluding those with watch movements and instrument panel clocks), alarm clocks, electrically operated",en
"Alkaloids; of vegetal origin, cocaine, ecgonine; salts, esters and other derivatives thereof, for customs clearance and import declaration, shipping term FOB.",293972,HS 29,HS 29,"Alkaloids; of vegetal origin, cocaine, ecgonine; salts, esters and other derivatives thereof",en
